,precision,recall,f1-score,support
acanthis_flammea,1.0,0.2857142857142857,0.4444444444444444,7.0
accipiter_brevipes,1.0,0.6666666666666666,0.8,3.0
accipiter_gentilis,0.803921568627451,0.4659090909090909,0.5899280575539568,88.0
accipiter_gularis,1.0,0.8571428571428571,0.9230769230769231,7.0
accipiter_nisus,0.8181818181818182,0.6532258064516129,0.726457399103139,124.0
acridotheres_tristis,0.6153846153846154,0.8888888888888888,0.7272727272727273,9.0
acrocephalus_arundinaceus,0.5,0.8571428571428571,0.631578947368421,7.0
acrocephalus_melanopogon,0.8571428571428571,1.0,0.9230769230769231,6.0
acrocephalus_palustris,0.8181818181818182,0.375,0.5142857142857142,24.0
acrocephalus_schoenobaenus,0.75,0.4444444444444444,0.5581395348837209,27.0
acrocephalus_scirpaceus,0.6428571428571429,0.28125,0.391304347826087,32.0
actitis_hypoleucos,0.8571428571428571,0.6428571428571429,0.7346938775510204,28.0
aegithalos_caudatus,0.16071428571428573,0.5625,0.25,16.0
aegolius_funereus,0.8333333333333334,0.9090909090909091,0.8695652173913043,22.0
aegypius_monachus,0.5,1.0,0.6666666666666666,1.0
agapornis_canus,1.0,1.0,1.0,1.0
agapornis_lilianae,0.6666666666666666,1.0,0.8,2.0
agropsar_philippensis,1.0,1.0,1.0,5.0
aix_galericulata,0.7931034482758621,0.8070175438596491,0.8,57.0
aix_sponsa,0.8648648648648649,0.6530612244897959,0.7441860465116279,49.0
alca_torda,0.8648648648648649,0.8,0.8311688311688312,40.0
alcedo_atthis,0.7727272727272727,0.5862068965517241,0.6666666666666666,29.0
alectoris_chukar,1.0,0.25,0.4,8.0
alectoris_graeca,1.0,0.75,0.8571428571428571,4.0
alectoris_rufa,0.2857142857142857,1.0,0.4444444444444444,2.0
alle_alle,0.8,0.8,0.8,10.0
amadina_fasciata,0.0,0.0,0.0,4.0
amaurornis_phoenicurus,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
amazona_ochrocephala,0.9230769230769231,0.9230769230769231,0.9230769230769231,13.0
anas_acuta,0.4166666666666667,0.5405405405405406,0.47058823529411764,37.0
anas_bahamensis,0.5185185185185185,0.7368421052631579,0.6086956521739131,19.0
anas_carolinensis,0.875,0.5,0.6363636363636364,14.0
anas_clypeata,0.4727272727272727,0.7027027027027027,0.5652173913043478,37.0
anas_crecca,0.4888888888888889,0.6285714285714286,0.55,35.0
anas_hottentota,0.8,1.0,0.8888888888888888,8.0
anas_penelope,0.3111111111111111,0.9333333333333333,0.4666666666666667,15.0
anas_platyrhynchos,0.7837837837837838,0.7837837837837838,0.7837837837837838,37.0
anas_poecilorhyncha,1.0,0.7142857142857143,0.8333333333333334,7.0
anas_querquedula,0.75,0.5625,0.6428571428571429,16.0
anas_strepera,0.4166666666666667,0.45454545454545453,0.43478260869565216,11.0
anas_zonorhyncha,0.6428571428571429,0.9,0.75,10.0
anser_albifrons,0.5757575757575758,1.0,0.7307692307692307,19.0
anser_anser,1.0,0.6538461538461539,0.7906976744186046,26.0
anser_brachyrhynchus,0.8461538461538461,0.6111111111111112,0.7096774193548387,18.0
anser_caerulescens,0.5555555555555556,0.45454545454545453,0.5,11.0
anser_canagicus,1.0,0.2727272727272727,0.42857142857142855,11.0
anser_fabalis,0.8666666666666667,0.7222222222222222,0.7878787878787878,18.0
anser_rossii,0.6666666666666666,0.6666666666666666,0.6666666666666666,6.0
anthornis_melanura,0.3333333333333333,0.25,0.2857142857142857,4.0
anthracoceros_coronatus,0.5,0.5,0.5,2.0
anthus_pratensis,0.5555555555555556,0.625,0.5882352941176471,8.0
apus_affinis,0.8,0.6666666666666666,0.7272727272727273,6.0
apus_apus,0.9642857142857143,0.75,0.84375,36.0
aquila_chrysaetos,0.4642857142857143,0.5,0.48148148148148145,26.0
aquila_clanga,0.3333333333333333,1.0,0.5,1.0
aquila_heliaca,0.23076923076923078,0.5,0.3157894736842105,6.0
aquila_nipalensis,0.9230769230769231,0.75,0.8275862068965517,16.0
aquila_pennata,0.25,1.0,0.4,1.0
aquila_pomarina_clanga_pomarina,0.4642857142857143,0.8125,0.5909090909090909,16.0
aquila_verreauxii,0.11764705882352941,1.0,0.21052631578947367,4.0
aquila_wahlbergi,0.4,0.6666666666666666,0.5,3.0
aramides_cajaneus,0.5,1.0,0.6666666666666666,6.0
aratinga_acuticaudata,0.6666666666666666,1.0,0.8,2.0
archilochus_colubris,0.8571428571428571,0.6666666666666666,0.75,9.0
ardea_alba,0.9375,0.8333333333333334,0.8823529411764706,18.0
ardea_cinerea,1.0,1.0,1.0,2.0
ardea_purpurea,0.0,0.0,0.0,2.0
ardenna_tenuirostris,0.8333333333333334,1.0,0.9090909090909091,5.0
arenaria_interpres,0.5454545454545454,0.8,0.6486486486486487,15.0
argusianus_argus,1.0,1.0,1.0,1.0
arizelocichla_masukuensis,0.5,0.75,0.6,4.0
arremonops_conirostris,0.75,0.75,0.75,4.0
asio_flammeus,0.4666666666666667,0.6,0.525,35.0
asio_otus,0.5888888888888889,0.8412698412698413,0.6928104575163399,63.0
athene_noctua,0.4069767441860465,0.875,0.5555555555555556,40.0
avocettula_recurvirostris,1.0,1.0,1.0,3.0
aythya_affinis,0.2777777777777778,0.4166666666666667,0.3333333333333333,12.0
aythya_americana,1.0,0.16666666666666666,0.2857142857142857,6.0
aythya_collaris,0.2692307692307692,0.875,0.4117647058823529,8.0
aythya_ferina,0.9285714285714286,0.5,0.65,26.0
aythya_fuligula,0.6153846153846154,0.5,0.5517241379310345,16.0
aythya_marila,0.4166666666666667,0.29411764705882354,0.3448275862068966,17.0
aythya_valisineria,0.5714285714285714,0.6666666666666666,0.6153846153846154,12.0
bambusicola_thoracicus,0.5,1.0,0.6666666666666666,3.0
batis_minor,0.42857142857142855,1.0,0.6,3.0
bombycilla_cedrorum,0.8333333333333334,0.4166666666666667,0.5555555555555556,12.0
bombycilla_garrulus,0.8888888888888888,0.5925925925925926,0.7111111111111111,27.0
bombycilla_japonica,1.0,0.2222222222222222,0.36363636363636365,9.0
bonasa_umbellus,0.625,0.8333333333333334,0.7142857142857143,6.0
bonasia_bonasia,1.0,0.3888888888888889,0.56,18.0
botaurus_stellaris,0.9354838709677419,0.725,0.8169014084507042,40.0
branta_bernicla,0.7,1.0,0.8235294117647058,7.0
branta_canadensis,0.0,0.0,0.0,4.0
branta_hutchinsii,0.5,0.4,0.4444444444444444,5.0
branta_leucopsis,0.0,0.0,0.0,2.0
branta_ruficollis,0.75,0.8571428571428571,0.8,7.0
brotogeris_versicolurus,1.0,1.0,1.0,4.0
bubo_ascalaphus,0.6923076923076923,0.75,0.72,12.0
bubo_bubo,0.6956521739130435,0.8421052631578947,0.7619047619047619,19.0
bubo_scandiacus,0.3333333333333333,0.6666666666666666,0.4444444444444444,3.0
bubo_virginianus,0.3333333333333333,0.6666666666666666,0.4444444444444444,3.0
bubulcus_ibis,0.21875,1.0,0.358974358974359,7.0
bucephala_albeola,0.2222222222222222,0.3333333333333333,0.26666666666666666,6.0
bucephala_clangula,0.6,0.375,0.46153846153846156,8.0
bucephala_islandica,0.0,0.0,0.0,6.0
buceros_bicornis,0.25,1.0,0.4,1.0
burhinus_oedicnemus,1.0,0.6666666666666666,0.8,6.0
buteo_augur,0.5833333333333334,0.875,0.7,8.0
buteo_buteo,0.42857142857142855,0.5714285714285714,0.4897959183673469,21.0
buteo_japonicus,0.14285714285714285,0.5,0.2222222222222222,2.0
buteo_lagopus,1.0,0.7142857142857143,0.8333333333333334,7.0
buteo_rufinus,0.6086956521739131,0.7777777777777778,0.6829268292682927,18.0
butorides_striatus,0.8,0.5714285714285714,0.6666666666666666,7.0
bycanistes_bucinator,0.6,1.0,0.75,3.0
calandrella_brachydactyla,0.375,0.42857142857142855,0.4,7.0
calandrella_rufescens,0.8,0.8,0.8,5.0
calidris_alba,0.55,0.7333333333333333,0.6285714285714286,15.0
calidris_alpina,0.8484848484848485,0.5833333333333334,0.691358024691358,48.0
calidris_canutus,0.9642857142857143,0.675,0.7941176470588235,40.0
calidris_ferruginea,1.0,1.0,1.0,2.0
calidris_melanotos,1.0,0.2,0.3333333333333333,10.0
calidris_minuta,0.6666666666666666,0.5,0.5714285714285714,16.0
calidris_pugnax,0.4,0.6666666666666666,0.5,3.0
callonetta_leucophrys,0.7894736842105263,0.75,0.7692307692307693,20.0
calonectris_diomedea,0.5555555555555556,0.4166666666666667,0.47619047619047616,12.0
calyptorhynchus_funereus,0.0,0.0,0.0,0.0
caprimulgus_aegyptius,1.0,0.6,0.75,5.0
caprimulgus_climacurus,0.9230769230769231,0.75,0.8275862068965517,32.0
caprimulgus_europaeus,1.0,0.5128205128205128,0.6779661016949152,39.0
caprimulgus_poliocephalus,0.75,0.6,0.6666666666666666,5.0
caprimulgus_ruficollis,0.8888888888888888,0.6666666666666666,0.7619047619047619,12.0
caprimulgus_rufigena,0.5,0.6666666666666666,0.5714285714285714,9.0
cardinalis_cardinalis,1.0,0.8,0.8888888888888888,5.0
carduelis_barbata,0.75,0.75,0.75,4.0
carduelis_cabaret,0.16,0.5714285714285714,0.25,7.0
carduelis_cannabina,0.6363636363636364,0.5737704918032787,0.603448275862069,61.0
carduelis_carduelis,0.8333333333333334,0.7246376811594203,0.7751937984496124,69.0
carduelis_citrinella,1.0,0.3333333333333333,0.5,3.0
carduelis_flavirostris,0.4,0.4,0.4,5.0
carduelis_spinus,0.8,0.4444444444444444,0.5714285714285714,9.0
carpodacus_erythrinus,0.5,0.5,0.5,4.0
carpodacus_roseus,0.0,0.0,0.0,5.0
carpodacus_rubicilla,1.0,0.4,0.5714285714285714,5.0
carpodacus_sipahi,0.8333333333333334,1.0,0.9090909090909091,5.0
