,precision,recall,f1-score,support
accipiter_gentilis,0.9041095890410958,0.75,0.8198757763975155,88.0
accipiter_nisus,0.7874015748031497,0.8064516129032258,0.796812749003984,124.0
acrocephalus_palustris,0.8235294117647058,0.5833333333333334,0.6829268292682927,24.0
acrocephalus_schoenobaenus,0.5833333333333334,0.5185185185185185,0.5490196078431373,27.0
acrocephalus_scirpaceus,0.55,0.34375,0.4230769230769231,32.0
actitis_hypoleucos,0.9333333333333333,0.5,0.6511627906976745,28.0
aegithalos_caudatus,0.38461538461538464,0.625,0.47619047619047616,16.0
aegolius_funereus,0.8076923076923077,0.9545454545454546,0.875,22.0
aix_galericulata,0.5652173913043478,0.896551724137931,0.6933333333333334,58.0
aix_sponsa,0.8421052631578947,0.6530612244897959,0.735632183908046,49.0
alca_torda,0.8297872340425532,0.975,0.896551724137931,40.0
alcedo_atthis,0.9583333333333334,0.7931034482758621,0.8679245283018868,29.0
anas_acuta,0.72,0.4864864864864865,0.5806451612903226,37.0
anas_bahamensis,0.6666666666666666,0.9473684210526315,0.782608695652174,19.0
anas_clypeata,0.9130434782608695,0.5675675675675675,0.7,37.0
anas_crecca,0.5185185185185185,0.8,0.6292134831460674,35.0
anas_platyrhynchos,0.5849056603773585,0.8378378378378378,0.6888888888888889,37.0
anas_querquedula,1.0,0.875,0.9333333333333333,16.0
anser_albifrons,0.6785714285714286,1.0,0.8085106382978723,19.0
anser_anser,0.88,0.8461538461538461,0.8627450980392157,26.0
anser_brachyrhynchus,1.0,0.7777777777777778,0.875,18.0
anser_fabalis,0.9230769230769231,0.6666666666666666,0.7741935483870968,18.0
apus_apus,0.9655172413793104,0.7777777777777778,0.8615384615384616,36.0
aquila_chrysaetos,0.4444444444444444,0.7692307692307693,0.5633802816901409,26.0
aquila_nipalensis,0.8,0.75,0.7741935483870968,16.0
aquila_pomarina_clanga_pomarina,0.5161290322580645,1.0,0.6808510638297872,16.0
ardea_alba,0.85,0.9444444444444444,0.8947368421052632,18.0
asio_flammeus,0.5151515151515151,0.9714285714285714,0.6732673267326733,35.0
asio_otus,0.8260869565217391,0.9047619047619048,0.8636363636363636,63.0
athene_noctua,0.723404255319149,0.85,0.7816091954022989,40.0
aythya_ferina,0.9444444444444444,0.6538461538461539,0.7727272727272727,26.0
aythya_fuligula,0.9090909090909091,0.625,0.7407407407407407,16.0
aythya_marila,0.8235294117647058,0.8235294117647058,0.8235294117647058,17.0
bombycilla_garrulus,0.8333333333333334,0.5555555555555556,0.6666666666666666,27.0
bonasia_bonasia,1.0,0.7777777777777778,0.875,18.0
botaurus_stellaris,0.8947368421052632,0.85,0.8717948717948718,40.0
bubo_bubo,0.64,0.8421052631578947,0.7272727272727273,19.0
buteo_buteo,0.45454545454545453,0.9523809523809523,0.6153846153846154,21.0
buteo_rufinus,0.8235294117647058,0.7777777777777778,0.8,18.0
calidris_alpina,0.75,0.5625,0.6428571428571429,48.0
calidris_canutus,0.8857142857142857,0.775,0.8266666666666667,40.0
calidris_minuta,0.8461538461538461,0.6875,0.7586206896551724,16.0
callonetta_leucophrys,1.0,0.65,0.7878787878787878,20.0
caprimulgus_climacurus,0.8823529411764706,0.9375,0.9090909090909091,32.0
caprimulgus_europaeus,0.8461538461538461,0.5641025641025641,0.676923076923077,39.0
carduelis_cannabina,0.6764705882352942,0.7540983606557377,0.7131782945736435,61.0
carduelis_carduelis,0.85,0.7391304347826086,0.7906976744186046,69.0
charadrius_dubius,0.7916666666666666,0.76,0.7755102040816326,25.0
charadrius_hiaticula,0.8,0.5454545454545454,0.6486486486486487,22.0
chenonetta_jubata,0.65625,0.8235294117647058,0.7304347826086957,51.0
chloris_chloris,0.8,0.6037735849056604,0.6881720430107527,53.0
chordeiles_minor,0.7619047619047619,0.9411764705882353,0.8421052631578947,17.0
chroicocephalus_ridibundus,0.9285714285714286,0.8125,0.8666666666666667,16.0
ciconia_ciconia,0.5625,0.9,0.6923076923076923,20.0
circus_aeruginosus,0.7916666666666666,0.76,0.7755102040816326,25.0
circus_cyaneus,0.8372093023255814,0.6666666666666666,0.7422680412371134,54.0
coracias_cyanogaster,0.8823529411764706,0.9375,0.9090909090909091,16.0
corvus_frugilegus,0.8947368421052632,0.9444444444444444,0.918918918918919,18.0
crex_crex,0.8,0.8888888888888888,0.8421052631578947,18.0
cuculus_canorus,0.6071428571428571,0.8095238095238095,0.6938775510204082,21.0
dendrocopos_major,0.6875,0.8148148148148148,0.7457627118644068,27.0
garrulus_glandarius,0.5096153846153846,0.8833333333333333,0.6463414634146342,60.0
gavia_pacifica,0.9473684210526315,0.9473684210526315,0.9473684210526315,19.0
haematopus_ostralegus,0.8235294117647058,0.5957446808510638,0.691358024691358,94.0
hirundo_rustica,1.0,0.4444444444444444,0.6153846153846154,18.0
hydrocoloeus_minutus,0.9130434782608695,0.875,0.8936170212765957,24.0
lanius_collurio,0.9,0.47368421052631576,0.6206896551724138,19.0
lanius_excubitor,0.7777777777777778,0.4117647058823529,0.5384615384615384,17.0
larus_cachinnans,0.8235294117647058,0.875,0.8484848484848485,16.0
larus_canus,0.65,0.7878787878787878,0.7123287671232876,33.0
larus_crassirostris,0.8214285714285714,0.92,0.8679245283018868,25.0
larus_dominicanus,0.8333333333333334,0.9090909090909091,0.8695652173913043,22.0
larus_fuscus,0.825,0.825,0.825,40.0
melanitta_nigra,0.65,0.5416666666666666,0.5909090909090909,24.0
mergellus_albellus,0.6666666666666666,0.6,0.631578947368421,20.0
